NTACode,NTAName,population_2022,DisplacementRiskIndex,Liquor_Licenses_2010,Liquor_Licenses_2011,Liquor_Licenses_2012,Liquor_Licenses_2013,Liquor_Licenses_2014,Liquor_Licenses_2015,Liquor_Licenses_2016,Liquor_Licenses_2017,Liquor_Licenses_2018,Liquor_Licenses_2019,Liquor_Licenses_2020,Liquor_Licenses_2021,Liquor_Licenses_2022,Liquor_Licenses_2023,Liquor_Licenses_2024,Liquor_Licenses_2025,Liquor_Licenses_2026,Evictions_2017,Evictions_2018,Evictions_2019,Evictions_2020,Evictions_2021,Evictions_2022,Evictions_2023,Evictions_2024,Evictions_2025,Evictions_2026,DOB_A1_2010,DOB_A1_2011,DOB_A1_2012,DOB_A1_2013,DOB_A1_2014,DOB_A1_2015,DOB_A1_2016,DOB_A1_2017,DOB_A1_2018,DOB_A1_2019,DOB_A1_2020,DOB_A1_2021,DOB_A1_2022,DOB_A1_2023,DOB_A1_2024,DOB_A1_2025,DOB_A1_2026,DOB_NB_2010,DOB_NB_2011,DOB_NB_2012,DOB_NB_2013,DOB_NB_2014,DOB_NB_2015,DOB_NB_2016,DOB_NB_2017,DOB_NB_2018,DOB_NB_2019,DOB_NB_2020,DOB_NB_2021,DOB_NB_2022,DOB_NB_2023,DOB_NB_2024,DOB_NB_2025,DOB_NB_2026,HPD_ClassA_2010,HPD_ClassA_2011,HPD_ClassA_2012,HPD_ClassA_2013,HPD_ClassA_2014,HPD_ClassA_2015,HPD_ClassA_2016,HPD_ClassA_2017,HPD_ClassA_2018,HPD_ClassA_2019,HPD_ClassA_2020,HPD_ClassA_2021,HPD_ClassA_2022,HPD_ClassA_2023,HPD_ClassA_2024,HPD_ClassA_2025,HPD_ClassA_2026,HPD_ClassB_2010,HPD_ClassB_2011,HPD_ClassB_2012,HPD_ClassB_2013,HPD_ClassB_2014,HPD_ClassB_2015,HPD_ClassB_2016,HPD_ClassB_2017,HPD_ClassB_2018,HPD_ClassB_2019,HPD_ClassB_2020,HPD_ClassB_2021,HPD_ClassB_2022,HPD_ClassB_2023,HPD_ClassB_2024,HPD_ClassB_2025,HPD_ClassB_2026,HPD_ClassC_2010,HPD_ClassC_2011,HPD_ClassC_2012,HPD_ClassC_2013,HPD_ClassC_2014,HPD_ClassC_2015,HPD_ClassC_2016,HPD_ClassC_2017,HPD_ClassC_2018,HPD_ClassC_2019,HPD_ClassC_2020,HPD_ClassC_2021,HPD_ClassC_2022,HPD_ClassC_2023,HPD_ClassC_2024,HPD_ClassC_2025,HPD_ClassC_2026,HPD_ClassI_2010,HPD_ClassI_2011,HPD_ClassI_2012,HPD_ClassI_2013,HPD_ClassI_2014,HPD_ClassI_2015,HPD_ClassI_2016,HPD_ClassI_2017,HPD_ClassI_2018,HPD_ClassI_2019,HPD_ClassI_2020,HPD_ClassI_2021,HPD_ClassI_2022,HPD_ClassI_2023,HPD_ClassI_2024,HPD_ClassI_2025,HPD_ClassI_2026,HPD_RentImpairing_2010,HPD_RentImpairing_2011,HPD_RentImpairing_2012,HPD_RentImpairing_2013,HPD_RentImpairing_2014,HPD_RentImpairing_2015,HPD_RentImpairing_2016,HPD_RentImpairing_2017,HPD_RentImpairing_2018,HPD_RentImpairing_2019,HPD_RentImpairing_2020,HPD_RentImpairing_2021,HPD_RentImpairing_2022,HPD_RentImpairing_2023,HPD_RentImpairing_2024,HPD_RentImpairing_2025,HPD_RentImpairing_2026
BX1104,Allerton,34623,Intermediate,0.0,0.0,0.2599,0.2311,0.1155,0.1444,0.1444,0.0578,0.0578,0.2022,0.0866,0.1733,0.0578,0.2022,0.1733,0.5777,0.2022,5.1989,5.8632,4.2169,0.5777,0.0289,0.6354,3.8991,3.4948,3.7547,0.9242,0.4332,0.4044,0.2311,0.4044,0.3177,0.1155,0.1155,0.1733,0.2311,0.491,0.0866,0.7509,0.6932,0.3466,0.2311,0.0578,0.0,0.7798,0.4332,0.7798,0.3466,0.6932,0.2599,0.3466,0.3177,0.6643,0.5488,0.8954,1.1842,1.0975,0.7221,0.4332,0.1733,0.0,5.1122,7.3362,16.3764,15.6255,17.214,22.5284,21.3731,21.0554,26.8319,28.6515,15.5677,39.6846,40.2911,53.3172,61.2599,47.5695,11.813,18.5137,24.579,48.5227,53.4327,52.9706,57.4474,60.9421,61.3754,62.935,57.8806,32.3196,61.0288,66.4298,107.0964,146.1456,103.6883,28.767,2.3973,2.455,11.2931,18.4848,17.6183,16.5208,20.1311,16.7519,21.0265,35.901,22.6728,33.2438,48.5227,82.0553,104.0638,78.4738,24.3191,0.0,0.0578,0.1444,0.1733,0.2599,12.2751,6.4119,5.401,7.6828,6.7007,0.982,6.7007,15.0189,7.0762,6.5852,7.0473,0.1444,1.0109,2.455,4.679,7.3362,5.8632,6.4986,7.1629,4.8811,5.7765,7.7116,4.4768,8.2893,9.589,16.6075,20.5066,17.5028,5.7187
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,40534,Low,0.0,0.0,0.0493,0.074,0.074,0.148,0.0493,0.0493,0.0247,0.0493,0.0247,0.0493,0.0247,0.0493,0.2714,0.3701,0.1234,0.3207,0.1974,0.3207,0.0493,0.0493,0.1234,0.4687,0.6168,0.3947,0.1234,1.8996,2.023,2.0477,1.6776,1.5296,1.6036,1.5789,1.2335,1.4062,1.6036,1.1102,0.8881,0.5921,0.3207,0.1974,0.1727,0.0493,12.212,14.1363,10.0903,11.4719,8.3387,8.1166,9.9423,11.3238,8.0426,7.3765,4.0707,4.8848,3.4539,1.7269,0.8881,0.4441,0.0987,0.0987,0.1727,0.0493,0.2714,0.3701,0.148,0.1974,0.1974,0.4194,0.7401,0.0987,0.2467,0.7154,0.7154,0.7895,0.7154,0.3207,1.0608,1.2089,0.8388,1.7763,0.8141,0.6661,0.5428,0.4934,1.1102,1.4062,0.3947,0.4687,0.9128,1.4556,3.0098,2.6151,2.2204,0.2467,0.074,0.1234,0.4194,0.7154,0.3701,0.148,0.0987,0.3454,0.4687,0.0493,0.148,0.2714,0.4934,0.4687,0.9868,0.5921,0.0247,0.0,0.0,0.0,0.0247,0.148,0.148,0.1234,1.6776,1.801,0.074,1.7269,3.8733,2.3684,2.3931,2.7631,0.0247,0.074,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI0303,Arden Heights-Rossville,30683,Lowest,0.0,0.0,0.0326,0.0652,0.1304,0.0652,0.0978,0.1304,0.0326,0.0652,0.0652,0.0326,0.0326,0.1304,0.1955,0.3911,0.0652,0.1304,0.1955,0.6518,0.0652,0.0,0.3911,0.4889,0.3585,0.5215,0.0652,0.4889,0.3585,0.0978,0.0978,0.2281,0.3585,0.2281,0.0978,0.0978,0.1304,0.163,0.2281,0.1304,0.0978,0.0,0.0326,0.0,5.6709,3.9761,2.9658,2.1836,1.7599,2.2488,2.7703,1.3688,1.597,1.3362,0.9777,1.1733,0.3259,0.0652,0.163,0.0652,0.0,0.163,0.0652,0.0652,0.3259,0.6518,0.1304,0.1955,0.3585,0.4237,0.3911,0.1955,0.3911,1.1733,0.4237,0.6518,0.4237,0.0326,1.3037,0.6192,0.7496,3.031,2.6399,0.4237,1.1081,1.0755,0.9126,0.6518,0.5215,0.88,1.1081,1.5318,1.3688,1.8903,0.1304,0.0326,0.0652,0.0978,0.8474,0.7496,0.2607,0.0652,0.5541,0.4889,0.0652,0.1955,0.1955,0.3585,0.2933,0.4237,0.3585,0.0,0.0,0.0,0.0,0.0652,0.0,0.0,0.0326,0.2607,2.7703,2.2162,0.1304,2.0533,5.1168,2.3792,2.2814,2.7377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN0103,Astoria (Central),52220,Intermediate,0.0,0.0,0.2106,0.4404,0.4021,0.3255,0.4021,0.4787,0.2298,0.4979,0.1915,0.2298,0.383,0.5745,1.5511,2.1256,0.5745,1.3596,1.0915,0.9,0.1149,0.0191,0.0957,0.6894,1.283,1.4937,0.3447,1.0149,1.1681,0.9192,1.0915,1.4362,1.6277,1.6852,1.5703,1.2639,1.2639,0.6894,0.9,0.766,0.6511,0.2106,0.0957,0.0191,3.6576,3.1023,2.6427,2.3554,2.7959,3.964,2.6618,2.7193,3.1597,2.6044,2.3746,2.2022,1.3596,0.8809,0.4021,0.4213,0.1723,2.5469,1.7809,2.8916,3.6768,3.3321,4.3661,4.8257,6.8365,9.9004,8.2918,6.8173,31.1375,32.6503,34.144,35.1781,28.2842,3.2172,8.4259,8.0237,11.6813,11.8345,12.9069,12.2941,12.1792,11.0111,13.5389,12.5431,9.211,12.1409,14.707,19.7817,30.6588,27.0011,6.9897,1.5128,1.0532,2.2788,3.5427,5.1896,4.5385,4.6151,3.0448,3.9257,6.2811,6.3194,7.8705,11.6622,19.6668,24.3585,25.699,7.4684,0.0,0.0,0.0383,0.0574,0.0383,21.0073,12.4665,8.1769,11.892,10.5132,0.0957,9.977,21.9456,15.09,9.977,10.1877,0.2298,0.766,0.6319,1.1298,1.666,2.3363,1.8001,2.2788,1.6086,1.8575,2.0682,1.8767,2.5086,2.7767,5.63,7.0854,6.7407,1.8575
QN0104,Astoria (East)-Woodside (North),38673,Intermediate,0.0,0.0259,0.2327,0.3879,0.3879,0.3879,0.3103,0.3103,0.2586,0.4396,0.2844,0.2844,0.4396,0.6464,1.2412,2.0945,0.5172,1.2412,0.6206,1.1636,0.2327,0.0,0.181,0.7499,1.1636,1.5515,0.4654,1.7842,1.1119,1.1377,1.0602,1.3963,1.8618,1.5773,1.4998,1.7842,1.3705,1.0085,0.8533,0.905,0.4654,0.362,0.2327,0.0517,1.3446,1.3187,1.2929,1.1895,1.0085,1.2412,0.8275,1.1636,1.086,1.267,0.724,1.2153,0.543,0.2327,0.2069,0.0776,0.0,1.0085,1.267,3.0771,3.4391,3.8011,5.7404,5.7922,6.9299,10.3431,9.9294,4.7837,30.5122,31.831,34.5202,32.9687,25.5734,2.8185,4.9906,6.8265,9.5415,11.817,15.1268,13.0582,16.1353,12.8513,14.9975,15.3337,7.7832,10.9896,11.5326,17.1955,22.9876,18.9279,4.0855,0.8275,0.8016,3.5942,4.8096,5.094,3.5167,5.5853,3.8011,4.4475,8.0935,7.0333,6.7748,8.8434,16.3163,19.6002,19.9105,5.1199,0.0,0.0,0.0259,0.1034,0.0259,22.4187,11.6102,9.2312,13.4202,10.1621,0.2069,9.5933,24.8752,16.4973,10.2914,10.6534,0.1293,0.362,0.5172,1.4998,1.3963,1.6549,1.3705,2.8444,2.4824,2.2238,1.7842,1.8876,1.3446,2.6892,3.8787,5.999,4.732,1.4222
QN0101,Astoria (North)-Ditmars-Steinway,50225,Intermediate,0.0,0.0,0.0996,0.438,0.2787,0.3982,0.3982,0.2787,0.3385,0.2588,0.2588,0.2389,0.4181,0.5774,1.2145,1.7919,0.3982,0.9358,0.9557,0.7168,0.1593,0.0,0.2787,0.7367,1.2344,1.1747,0.3982,2.7078,2.6282,2.3892,2.1105,2.3096,2.6879,2.8074,2.3295,2.0508,2.3494,1.9512,1.7322,1.1548,0.5177,0.3385,0.2787,0.0,0.657,0.8761,0.6969,0.3186,0.8163,0.8362,0.3584,0.9756,1.0752,0.8163,0.7566,1.0154,0.9159,0.3783,0.1394,0.0796,0.0199,0.5774,1.6127,1.772,3.0065,2.5684,3.9821,4.7586,6.5903,7.0483,6.6103,6.4908,29.4475,29.6665,30.2638,29.109,20.5077,1.9512,3.783,7.0085,7.3668,12.5834,9.995,11.2295,13.3798,11.7073,10.6322,8.9,10.3136,12.9219,17.4017,17.3021,20.1095,10.891,3.9423,0.8561,1.1349,1.4136,3.1857,3.2653,5.8138,3.2056,5.1369,3.3051,4.7785,7.5261,10.4331,11.11,15.8487,15.5699,9.1588,2.8472,0.0398,0.0597,0.0597,0.0199,0.0597,21.4634,14.5744,8.6212,13.4395,11.7471,0.0796,10.4729,25.5052,14.8731,10.8113,11.2892,0.0199,0.3186,0.5774,0.8362,1.1946,1.3937,3.7033,1.4335,2.4291,1.1349,1.2544,1.7322,3.9423,3.3848,3.8825,4.3006,2.1304,0.6371
QN1101,Auburndale,36182,Intermediate,0.0,0.0,0.0553,0.1382,0.2487,0.2764,0.1658,0.1382,0.2764,0.2211,0.1106,0.1658,0.1658,0.3593,0.5528,0.8844,0.304,0.608,0.4975,0.3317,0.1382,0.0276,0.2211,0.4422,0.7739,0.5528,0.0829,5.5,3.7311,2.598,2.6256,4.2286,3.7311,4.9748,5.5276,5.0025,5.1407,2.4321,2.211,0.8568,0.5251,0.1382,0.2764,0.0553,4.505,3.8417,2.598,1.4648,0.8844,1.7136,1.6583,1.6859,1.8241,1.5201,1.1055,1.9347,0.7186,0.7186,0.4422,0.0,0.0,0.6357,0.1106,0.1658,0.3593,0.7186,0.9397,1.0779,0.995,1.1884,1.3543,0.7739,5.2789,6.6608,5.8593,6.9372,5.3341,0.3317,1.1055,3.5377,1.3819,2.0452,2.902,2.9573,3.5653,2.4045,3.3718,2.5427,2.7914,3.1784,4.7261,4.5603,6.4949,4.3392,0.6633,0.1382,0.3593,0.2211,0.7186,0.4146,1.0502,0.995,0.995,1.3819,0.8291,1.1332,1.1332,2.294,2.4874,3.5653,2.1281,0.8015,0.0276,0.0276,0.0,0.0276,0.0,4.3392,2.3769,1.3266,4.0904,3.7035,0.1382,4.5326,9.7562,6.3844,4.7537,4.7261,0.0276,0.0276,0.0829,0.0276,0.1106,0.1658,0.1658,0.3593,0.1382,0.3869,0.1935,0.0829,0.2211,0.3593,0.4698,0.8568,0.3593,0.0829
QN1203,Baisley Park,43090,Intermediate,0.0,0.0232,0.1392,0.2553,0.116,0.116,0.0464,0.116,0.1392,0.1625,0.0464,0.0696,0.0232,0.2553,0.5802,0.4409,0.0928,2.0654,2.6688,2.5296,0.5106,0.0696,0.4874,0.9747,1.4621,1.6245,0.557,2.1119,1.5549,2.1815,1.0211,1.8798,2.5296,2.5064,3.3186,2.692,3.6667,2.1815,1.9958,0.557,0.3481,0.2553,0.1625,0.0232,1.5085,1.1139,0.4874,0.673,0.789,0.8355,1.7638,1.346,1.3924,0.9515,1.1372,2.3207,0.4874,0.5802,0.4409,0.116,0.0,1.0675,1.6013,1.6013,1.7405,1.5781,2.019,1.6941,2.7385,2.576,2.1583,2.1119,4.8271,6.7765,5.8482,5.5697,8.7723,0.9747,12.764,13.2281,12.764,12.7176,10.0487,10.0487,9.631,14.0636,13.6227,9.1437,8.5171,10.6289,13.9011,13.9011,15.34,14.3653,3.7828,2.019,2.6456,2.4832,4.9431,4.363,3.6667,4.4558,4.2469,4.9896,3.5275,4.3398,5.6858,7.6584,7.4031,6.382,7.9369,1.9494,0.2089,0.0696,0.1625,0.2321,0.2321,1.9262,1.9726,1.9262,10.9306,10.1184,0.9747,10.6521,22.3486,12.5551,12.323,12.7872,0.1857,0.2553,0.1625,0.1392,0.2321,0.2553,0.2553,0.1625,0.4409,0.2089,0.0928,0.5106,0.4874,0.6034,0.673,0.8819,0.6034,0.5338
BK1102,Bath Beach,33070,High,0.0,0.0,0.0907,0.1512,0.1512,0.2117,0.2721,0.3024,0.1512,0.1512,0.121,0.121,0.121,0.1512,0.4838,0.7862,0.1512,1.391,1.4817,0.756,0.3629,0.0,0.5141,0.8769,1.2096,0.9072,0.1814,1.0281,0.8467,1.1793,1.0584,0.635,0.5443,0.7862,0.756,0.8769,0.5443,0.5141,0.6955,0.6048,0.3629,0.3326,0.121,0.0,0.6048,0.7257,0.9072,1.0886,1.391,0.6653,0.3326,0.5745,1.3003,1.5119,0.756,0.9374,0.6955,0.2721,0.3024,0.1814,0.0,1.1491,1.6631,2.6005,3.5984,4.687,4.4754,5.5035,5.9571,11.7629,12.0956,9.7672,27.4569,25.7635,22.3768,21.4394,20.1391,1.391,5.3825,4.2032,7.7714,11.4605,11.7629,14.1518,11.4303,15.0287,27.4267,23.4351,14.938,14.8473,10.9767,11.3698,20.4717,17.9317,4.1125,0.8467,0.6048,1.4817,3.5984,4.2637,3.7799,5.0499,4.5661,7.59,14.303,14.8171,11.2186,8.7088,9.7369,13.5773,14.5147,3.1146,0.0,0.0,0.0907,0.0605,0.0302,20.1089,9.0717,8.1947,10.9465,10.5836,0.0605,9.616,19.3529,11.0372,8.104,8.6181,0.0,0.7257,0.1814,0.4838,0.635,1.2096,1.3305,1.7236,1.8143,2.6913,3.5984,2.3284,2.8425,2.1772,1.7236,3.6891,3.9008,0.635
BK1001,Bay Ridge,86779,Intermediate,0.0,0.0,0.1152,0.4494,0.3227,0.4033,0.3111,0.2189,0.265,0.2535,0.1152,0.1959,0.2535,0.4033,0.7145,1.233,0.3457,1.3022,1.3252,1.0602,0.242,0.023,0.4379,1.0256,0.6568,1.0371,0.2189,1.1063,1.0025,1.1178,0.726,0.7145,0.7375,0.8412,0.8988,0.9565,0.749,0.6223,0.5416,0.4379,0.2766,0.242,0.1729,0.0115,0.4494,0.5186,0.3111,0.5416,0.4609,0.7029,0.8412,0.484,0.4033,0.3572,0.2189,0.242,0.2074,0.1152,0.1383,0.0346,0.0115,2.443,3.3879,3.6184,3.9987,5.7272,6.2342,6.2112,10.2675,11.3852,11.6157,10.4403,26.9305,27.2531,26.3313,27.1494,20.1546,2.9385,7.6631,9.5991,10.2559,11.1087,15.0728,15.8448,15.1765,19.2673,19.1521,20.3966,17.2738,30.111,26.4926,30.3069,42.2107,31.102,6.4762,1.3828,1.6133,2.8233,4.2291,4.7131,5.1625,5.7502,6.2342,6.0038,10.4749,10.8552,15.9025,17.3544,21.814,25.1098,24.0381,6.3379,0.023,0.0115,0.0576,0.0346,0.0346,12.3647,6.6606,4.9205,7.3174,6.7297,0.1613,6.8335,14.7732,8.5735,7.1907,6.9372,0.1037,0.9104,0.8297,1.1754,1.6018,1.6363,1.6594,1.982,2.1203,3.0192,3.3764,2.9615,5.1741,3.8604,5.0358,7.5479,6.4877,1.9129
